WAR
6.63
5.23
5.13
4.27
4.11
4.07
3.93
3.80
3.61
3.59
3.36
3.23
3.04
2.91
2.87
2.86
2.84
2.82
2.82
2.81
2.80
2.78
2.72
2.56
2.52
2.43
2.40
2.40
2.36
2.35
